,symbol,name,price,dayHigh,dayLow,volume,open,close,time,SMA_5,SMA_10,BB_middle,BB_upper,BB_lower,RSI,MACD,Signal_Line,MACD_Histogram,volatility,Doji,Hammer,vd_positive_mean,vd_negative_mean,vd_neutral_mean,vd_compound_mean,fl_confidence_mean,vd_positive_med,vd_negative_med,vd_neutral_med,vd_compound_med,fl_confidence_med,NEGATIVE,POSITIVE,price_delta,fl_confidence_mean_delta,vd_compound_mean_delta,fl_confidence_med_delta,vd_compound_med_delta,POSITIVE_delta
30,BTC,Bitcoin USD,72053.85,73624.98,69705.76,65335966308.25031,69911.74,69911.74,2024-10-30 01:00:00,72388.58799999999,72564.265,72564.265,73314.63661574182,71813.89338425818,58.21041315053294,617.8651244063658,690.9033005715255,-73.03817616515971,0.7810848376812616,True,False,0.07783333333333332,0.0,0.9221666666666667,0.28176666666666667,-0.9896381795406342,0.059,0.0,0.9410000000000001,0.2369,-0.999556839466095,100.0,0.0,-454.4399999999878,-0.01672678192456567,-0.19469999999999998,-0.00029221177101135254,-0.2369,0.0
31,BTC,Bitcoin USD,72523.38,73624.98,69705.76,65335966308.25031,69911.74,69911.74,2024-10-30 02:00:00,72404.9,72565.15,72565.15,73315.28174979088,71815.0182502091,60.218073106762326,595.8835925253952,671.8993589622995,-76.0157664369043,0.7256650606332294,True,False,0.118,0.0,0.882,0.42791250000000003,-0.9727686420083046,0.1205,0.0,0.8795,0.4738,-0.9995545148849487,100.0,0.0,469.52999999999884,0.01686953753232956,0.14614583333333336,2.3245811462402344e-06,0.2369,0.0
32,BTC,Bitcoin USD,72409.57,73624.98,69705.76,58603115934.46413,69911.74,69911.74,2024-10-30 03:00:00,72420.61400000002,72534.501,72534.501,73282.27024274501,71786.731757255,62.69407691852357,562.7920380029827,650.0778947704362,-87.28585676745342,0.7204102700613619,True,False,0.10575,0.007625,0.88675,0.35426250000000004,-0.9241322129964828,0.1205,0.0,0.8795,0.40515,-0.999556839466095,100.0,0.0,-113.80999999999767,0.04863642901182175,-0.07365,-2.3245811462402344e-06,-0.06864999999999999,0.0
33,BTC,Bitcoin USD,72233.49,72714.38,71878.8,54173790208.0,72707.63,72707.63,2024-10-30 04:00:00,72345.716,72486.46900000001,72486.46900000001,73244.68109735355,71728.25690264648,57.14426569275512,516.4057541121438,623.3434666387777,-106.93771252663396,0.7230435023639961,True,False,0.11699999999999999,0.0,0.883,0.38274444444444444,-0.9324831366539001,0.118,0.0,0.882,0.4738,-0.999484658241272,100.0,0.0,-176.08000000000175,-0.008350923657417297,0.028481944444444407,7.218122482299805e-05,0.06864999999999999,0.0
34,BTC,Bitcoin USD,72349.32,72714.38,71878.8,58401951086.64529,72707.63,72707.63,2024-10-30 05:00:00,72313.922,72375.001,72375.001,72696.44524592756,72053.55675407244,56.3549996106382,483.4182581394416,595.3584249389105,-111.9401667994689,0.6217503628920372,True,False,0.131625,0.0,0.868375,0.4305875,-0.9241079464554787,0.1205,0.0,0.8795,0.4738,-0.9993904829025269,100.0,0.0,115.83000000000175,0.008375190198421478,0.04784305555555557,9.417533874511719e-05,0.0,0.0
35,BTC,Bitcoin USD,72544.82,72714.38,71878.8,58401951086.64529,72707.63,72707.63,2024-10-30 06:00:00,72412.11600000001,72400.352,72400.352,72732.27701466436,72068.42698533564,50.353042647178896,467.6597555039625,569.818691051921,-102.15893554795844,0.36809972871537877,True,False,0.10228571428571429,0.0,0.8977142857142857,0.35680000000000006,-0.913324909550803,0.118,0.0,0.882,0.4738,-0.999484658241272,100.0,0.0,195.5,0.010783036904675636,-0.07378749999999995,-9.417533874511719e-05,0.0,0.0
36,BTC,Bitcoin USD,72360.54,72714.38,71878.8,58401951086.64529,72707.63,72707.63,2024-10-30 07:00:00,72379.54800000001,72392.224,72392.224,72723.61617521766,72060.83182478235,45.83953564574261,435.2834955416474,542.9116519498663,-107.62815640821884,0.37300922602008657,True,False,0.11933333333333333,0.0,0.8806666666666666,0.41626666666666673,-0.9730147222677866,0.1205,0.0,0.8795,0.4738,-0.999556839466095,100.0,0.0,-184.2800000000134,-0.05968981271698359,0.05946666666666667,-7.218122482299805e-05,0.0,0.0
37,BTC,Bitcoin USD,72295.0,72714.38,71878.8,52155367424.0,72707.63,72707.63,2024-10-30 08:00:00,72356.634,72388.624,72388.624,72723.73344748766,72053.51455251234,45.17042637151777,399.7287221177103,514.2750659834351,-114.5463438657248,0.37087852289921625,True,False,0.11933333333333333,0.0,0.8806666666666666,0.41626666666666673,-0.9730147222677866,0.1205,0.0,0.8795,0.4738,-0.999556839466095,100.0,0.0,-65.5399999999936,0.0,0.0,0.0,0.0,0.0
38,BTC,Bitcoin USD,72306.0,72714.38,71878.8,52155367424.0,72707.63,72707.63,2024-10-30 09:00:00,72371.136,72358.426,72358.426,72658.24946482916,72058.60253517085,33.90191008424394,368.19459795800503,485.0589723783491,-116.86437442034406,0.34557892093777887,True,False,0.14057142857142857,0.0,0.8594285714285714,0.42974285714285715,-0.6915686130523682,0.123,0.0,0.877,0.4738,-0.999484658241272,85.71428571428571,14.285714285714285,11.0,0.28144610921541846,0.01347619047619042,7.218122482299805e-05,0.0,14.285714285714285
39,BTC,Bitcoin USD,72457.4,72714.38,71878.8,54820893715.50042,72707.63,72707.63,2024-10-30 10:00:00,72392.75200000001,72353.337,72353.337,72643.42465158892,72063.24934841107,53.22453512256295,351.36991836897505,458.3211615764743,-106.95124320749926,0.3521861299598434,True,False,0.103375,0.0,0.896625,0.35735,-0.9746792837977409,0.11449999999999999,0.0,0.8855,0.4175,-0.999556839466095,100.0,0.0,151.39999999999418,-0.28311067074537277,-0.07239285714285715,-7.218122482299805e-05,-0.05630000000000002,-14.285714285714285
40,BTC,Bitcoin USD,72246.47,72714.38,71878.8,54820893715.50042,72707.63,72707.63,2024-10-30 11:00:00,72333.082,72372.599,72372.599,72591.03510679338,72154.16289320662,46.29433612941641,317.35764896596083,430.12845905437166,-112.77081008841083,0.29838967827665897,True,False,0.15777777777777777,0.0067777777777777775,0.8355555555555556,0.5183888888888889,-0.9794211387634277,0.13,0.0,0.81,0.4738,-0.9996243715286256,100.0,0.0,-210.92999999999302,-0.004741854965686798,0.1610388888888889,-6.75320625306286e-05,0.05630000000000002,0.0
41,BTC,Bitcoin USD,72019.22,72714.38,71645.0,54820893715.50042,72707.63,72707.63,2024-10-30 12:00:00,72264.818,72322.183,72322.183,72608.21433146941,72036.1516685306,44.33592756498294,268.96504303520487,397.8957758505383,-128.93073281533344,0.21976087081169315,True,False,0.16125,0.0,0.83875,0.541125,-0.9213160499930382,0.1745,0.0,0.8255,0.6084,-0.9971162974834442,100.0,0.0,-227.25,0.05810508877038956,0.022736111111111068,0.0025080740451813854,0.13460000000000005,0.0
42,BTC,Bitcoin USD,71781.03,72714.38,71645.0,54820893715.50042,72707.63,72707.63,2024-10-30 13:00:00,72162.024,72259.329,72259.329,72696.38234242954,71822.27565757046,34.76213114572852,208.98456781270215,360.1135342429711,-151.12896643026897,0.2338623833900725,True,False,0.11800000000000001,0.0,0.8820000000000001,0.3781444444444444,-0.9187048342492845,0.118,0.0,0.882,0.4738,-0.9772942066192628,100.0,0.0,-238.19000000000233,0.00261121574375367,-0.16298055555555557,0.019822090864181408,-0.13460000000000005,0.0
43,BTC,Bitcoin USD,72131.0,72714.38,71246.2,54820893715.50042,72707.63,72707.63,2024-10-30 14:00:00,72127.024,72249.08,72249.08,72693.56992619499,71804.59007380501,43.63492197385078,187.52756223596225,325.5963398415694,-138.06877760560712,0.28759547262030866,True,False,0.1322222222222222,0.0,0.8677777777777778,0.3428222222222222,-0.4868817726771037,0.123,0.0,0.877,0.4738,-0.9722051620483398,77.77777777777779,22.22222222222222,349.97000000000116,0.4318230615721808,-0.0353222222222222,0.005089044570922963,0.0,22.22222222222222
44,BTC,Bitcoin USD,72287.41,72714.38,71246.2,54820893715.50042,72707.63,72707.63,2024-10-30 15:00:00,72093.026,72242.889,72242.889,72682.87549428255,71802.90250571744,54.380805185840934,181.05660274151887,296.6883924215593,-115.63178968004041,0.291918904255082,True,False,0.11018181818181817,0.0,0.8898181818181818,0.35762727272727274,-0.7598189332268455,0.118,0.0,0.882,0.4738,-0.9947479367256165,90.9090909090909,9.090909090909092,156.4100000000035,-0.27293716054974176,0.014805050505050543,-0.02254277467727661,0.0,-13.13131313131313
45,BTC,Bitcoin USD,71904.7,72714.38,71246.2,54820893715.50042,72707.63,72707.63,2024-10-30 16:00:00,72024.67199999999,72178.87700000001,72178.87700000001,72609.79713625104,71747.95686374897,38.00496335646971,143.39386692404514,266.02948732205647,-122.63562039801133,0.31573657305052605,True,False,0.141,0.004692307692307692,0.8543846153846153,0.505576923076923,-0.7904727321404678,0.13,0.0,0.81,0.4738,-0.9996243715286256,92.3076923076923,7.6923076923076925,-382.7100000000064,-0.0306537989136223,0.1479496503496503,-0.004876434803009144,0.0,-1.3986013986013992
46,BTC,Bitcoin USD,71844.43,72714.38,71246.2,53822506151.41046,72707.63,72707.63,2024-10-30 17:00:00,71989.714,72127.26599999999,72127.26599999999,72584.3211951302,71670.21080486978,38.81070421642834,107.4440440821636,234.31239867407788,-126.86835459191428,0.3103423975385069,True,False,0.11440000000000002,0.0,0.8855999999999999,0.40804999999999997,-0.7830400168895721,0.11449999999999999,0.0,0.8855,0.4175,-0.999556839466095,90.0,10.0,-60.270000000004075,0.007432715250895616,-0.09752692307692307,6.75320625306286e-05,-0.05630000000000002,2.3076923076923075
47,BTC,Bitcoin USD,71965.36,72714.38,71246.2,51615944773.19123,72707.63,72707.63,2024-10-30 18:00:00,72026.58,72094.302,72094.302,72545.09703633266,71643.50696366733,44.57272863440755,87.70063252132968,204.99004544352826,-117.28941292219858,0.3192114589699732,True,False,0.11375,0.0,0.88625,0.4056875,-0.9239936098456383,0.1085,0.0,0.8915,0.3849,-0.9988859593868256,100.0,0.0,120.93000000000757,-0.14095359295606613,-0.0023624999999999896,0.0006708800792694092,-0.03259999999999996,-10.0
48,BTC,Bitcoin USD,71908.0,72714.38,71246.2,51615944773.19123,72707.63,72707.63,2024-10-30 19:00:00,71981.98000000001,72054.50200000001,72054.50200000001,72492.31899005656,71616.68500994345,40.8505892011576,66.65698377684748,177.32343311019213,-110.66644933334464,0.3186250264224829,True,False,0.11480000000000001,0.0,0.8852,0.36920000000000003,-0.8798072934150696,0.099,0.0,0.901,0.296,-0.999484658241272,100.0,0.0,-57.36000000000058,0.044186316430568695,-0.03648749999999995,-0.0005986988544464111,-0.08890000000000003,0.0
49,BTC,Bitcoin USD,71895.65,72714.38,71246.2,51615944773.19123,72707.63,72707.63,2024-10-30 20:00:00,71903.628,71998.327,71998.327,72339.9825874691,71656.67141253091,35.43540983312306,48.42498565764981,151.54374361968368,-103.11875796203387,0.3055448854407089,True,False,0.09591666666666666,0.021750000000000002,0.8824166666666667,0.2985,-0.7805202205975851,0.10500000000000001,0.0,0.8855,0.31625000000000003,-0.999574601650238,91.66666666666666,8.333333333333332,-12.35000000000582,0.0992870728174845,-0.07070000000000004,-8.994340896606445e-05,0.020250000000000046,8.333333333333332
50,BTC,Bitcoin USD,72777.77,73060.0,71246.2,51615944773.19123,72707.63,72707.63,2024-10-30 21:00:00,72078.242,72051.45700000001,72051.45700000001,72640.37981660293,71462.53418339709,57.12865163356047,103.95735196700844,142.02646528914863,-38.0691133221402,0.501703057995556,True,False,0.06328571428571429,0.028571428571428574,0.9081428571428571,0.1645142857142857,-0.6460428493363517,0.0,0.0,0.901,0.0,-0.9947479367256165,85.71428571428571,14.285714285714285,882.1200000000099,0.13447737126123338,-0.1339857142857143,0.004826664924621582,-0.31625000000000003,5.9523809523809526
